"state","FIPSCODE","Category","population_log","current_adult_asthma","below_poverty","no_high_school_diploma","riverine_flooding_annualized_frequency_log"
"SC","45045","Contains solar/wind",13.1948235641336,9.22354878843805,0.430453696205089,0.476835959608481,1.18207718978339
"SC","45047","Contains solar/wind",11.1466185680621,10.0703910202879,0.722017389595716,0.647109350591934,-0.182321557193955
"SC","45049","Contains solar/wind",9.8284945734947,10.9445549028468,0.631750564844103,0.642466726916704,-1.09861228966811
"SC","45051","Contains solar/wind",12.818381176739,9.42638911128903,0.559280526421137,0.44173895349613,0.493461294240414
"SC","45053","Contains FF and solar/wind ",10.3306489187261,9.73818562132011,0.569245189030059,0.507561264332197,-0.8754687389539
"SC","45057","Contains solar/wind",11.5219347591278,10.1361620057859,0.601009416184507,0.711423089440694,-0.405465109108164
"SC","45059","No plant",11.1258502219737,9.92233890806855,0.701419556364087,0.759570361565336,0.080042707365844
"SC","45061","Contains solar/wind",9.70075918596451,11.0249334945586,0.817683470374849,0.841451088270859,-2.48975514813462
"SC","45063","Contains FF and solar/wind ",12.6127703270409,9.01958846518842,0.493041536138124,0.454164903723507,0.191758735562022
"SC","45067","Contains solar/wind",10.2715968741005,11.1680103806228,0.801948366782007,0.768594799307958,-0.405465109108164
"SC","45069","Contains solar/wind",10.1767537132535,10.9323921456213,0.775826057044575,0.833258062204386,-1.23214368357835
"SC","45071","Contains solar/wind",10.5485205903726,10.4971380257874,0.67646829422955,0.80415914183048,-1.23214368357835
"SC","45073","Contains FF",11.2843421449057,9.58829346017761,0.64854579984535,0.661027026267076,-0.0425596147666219
"SC","45075","Contains FF and solar/wind ",11.332973099425,11.2240194723752,0.765128215811739,0.641024663591335,-0.405465109108164
"SC","45077","Contains FF",11.7951225221914,9.74623866941519,0.618333871742016,0.650817750543586,0.255933373621072
"SC","45079","Contains FF and solar/wind ",12.9449696588467,9.73478810231192,0.593232295871325,0.426129604207219,1.19005991839054
"SC","45081","Contains solar/wind",9.84998128501299,10.1355437665782,0.692650467681139,0.844097040346224,-1.56861591951385
"SC","45083","Contains solar/wind",12.7310851578067,10.0839522096584,0.521538510301866,0.61036282920351,0.824628580191608
"SC","45085","No plant",11.560314648224,10.6237977020671,0.663604428697963,0.621359035167604,-0.980829253011726
"SC","45087","Contains solar/wind",10.203221706012,10.5083435064325,0.693060357780073,0.749967959432811,-0.613104474117178
"SC","45089","Contains solar/wind",10.3260391843678,11.2938630788102,0.773361488040478,0.777992394970868,-0.922036214134103
"TN","47001","Contains FF and solar/wind ",11.266705182326,10.3170646982197,0.547920130575026,0.55403503969977,0.0834272000334738
"TN","47003","Contains solar/wind",10.8452705771712,10.7275564975005,0.590171934391486,0.754905717708309,0.348306693797628
"TN","47007","No plant",9.60945200611217,11.1154602220167,0.758559493524514,0.893889211378353,0.377294230912897
"TN","47011","No plant",11.6058965475821,11.3323543453276,0.714170739987623,0.757769815224118,-0.0649028346846913
"TN","47013","No plant",10.5857759897612,11.3280277044855,0.613189904353562,0.830655537598945,-0.042559614766622
"TN","47015","No plant",9.59294618593827,10.4964811260397,0.477431593090211,0.698406078055022,0
"TN","47017","No plant",10.256290008061,10.923042161869,0.658556202268516,0.751424913010077,0.318453731118535
"TN","47021","No plant",10.6334487062188,10.332356626506,0.453922498795181,0.643155525301205,0.287682072201781
"TN","47023","No plant",9.7672095342435,11.6995031284505,0.867694350386456,0.778323794626426,-0.133531392624523
"TN","47025","No plant",10.3803736928726,11.0699326526179,0.779037050370876,0.777006312653238,-0.182321557193955
"TN","47029","No plant",10.5051497279738,11.6054132537052,0.791958373284388,0.802742769087472,-0.287682072451781
"TN","47031","No plant",10.9842752562917,10.8717254110677,0.540901949083416,0.639382660026617,0.318453731118535
"TN","47033","No plant",9.54230245311951,11.1597474348856,0.715350426921145,0.773903494295759,0.287682072201781
"TN","47035","No plant",11.0433857281098,10.2580321378668,0.586421618537494,0.624562792268281,0.167626573880815
"TN","47037","Contains FF and solar/wind ",13.4728033240825,10.3126198882528,0.542517858807802,0.484998401604223,1.18302290997846
"TN","47039","No plant",9.35001535404867,10.6586552425211,0.687397313389486,0.618977229160616,0.510825623365991
"TN","47045","No plant",10.5100141888123,10.7741897200851,0.606225523817319,0.726516745784907,0.117783035656383
"TN","47047","Contains solar/wind",10.6608528904226,10.6112020256488,0.468593001664596,0.57955522940942,0.189241999362666
"TN","47049","No plant",9.84945366404364,11.5167395104895,0.79564409965035,0.754834571678322,0.255933373621071
"TN","47053","No plant",10.8319044642081,10.6967283115321,0.453608055931439,0.598774061043452,0.559615787935423
"TN","47055","No plant",10.3235785128396,10.8513656866021,0.619178629301704,0.687434296692282,0.318453731118535
"TN","47057","No plant",10.0828463914793,11.1611295111923,0.668104288487894,0.756908017359525,-0.693147180559945
"TN","47059","Contains solar/wind",11.1692936596939,10.9608954111509,0.628417054689995,0.682232806899244,0
"TN","47061","No plant",9.52259309836217,11.5826637394804,0.804829015733626,0.858780219538968,-0.23361485202361
"TN","47063","No plant",11.0810650455025,11.0049330047744,0.636615197905437,0.743303146465424,-0.538996501304116
"TN","47065","Contains solar/wind",12.8237228127421,10.7725285965018,0.470233660957453,0.470608103855232,0.4510829436152
"TN","47067","No plant",8.82320622055274,11.5256701030928,0.796296332842415,0.844273033873343,-0.780158558276848
"TN","47069","Contains solar/wind",10.1455313633508,11.7292185108137,0.75195373081603,0.780611740000785,-0.0870113777169025
"TN","47073","Contains FF",10.9586006550914,10.9118842042962,0.702676043588762,0.706181194513108,-0.23361485202361
"TN","47075","Contains FF and solar/wind ",9.77973674509995,11.972623358986,0.666859676324129,0.747333861475781,0.0408219938802551
"TN","47077","No plant",10.2365969984522,11.5411105046395,0.728224438048926,0.794294010817248,0.080042707365844
"TN","47079","Contains solar/wind",10.3842147284781,11.3899522470073,0.752210499116897,0.680604428599464,-0.287682072451781
"TN","47081","No plant",10.1357494054949,10.7025468938221,0.626515315780416,0.788826467045259,0.0408219938802551
"TN","47083","No plant",9.0231670644512,11.1236343904498,0.597390751235982,0.851706499457374,-0.287682072451781
"TN","47085","Contains FF",9.85608143013886,10.7195449302716,0.677829972737758,0.683373456013421,-0.405465109108164
"TN","47087","No plant",9.38277992891569,11.1075492341357,0.685735381248948,0.819707566066319,-0.182321557193955
"TN","47091","No plant",9.80217439083564,10.8381784983124,0.757867509544625,0.766439489846733,-0.344840486762318
"TN","47093","Contains FF",13.0968424718741,10.1123331180267,0.45395246982997,0.408737024215022,0.46729073449075
"TN","47095","No plant",8.80851861878282,11.0113884322224,0.855063981467643,0.881299118218502,-0.538996501304116
"TN","47097","No plant",10.1239475062211,11.8112742148959,0.70192379978342,0.811125239642241,-0.0870113777169024
"TN","47099","No plant",10.7122153451973,11.0036702968753,0.624531366784704,0.725452834012606,1.13943428318836
"TN","47101","No plant",9.45594966800606,11.0416066958698,0.741072762828536,0.674112531289111,-0.133531392624523
"TN","47103","Contains solar/wind",10.4805783309498,10.9026026897268,0.583211514164584,0.710208919897802,0.459532329167914
"TN","47105","Contains FF",10.9507363689157,10.283157826941,0.425117586062538,0.646942227804077,-0.133531392624523
"TN","47107","No plant",10.899236205745,10.7409967433861,0.621597764279703,0.644430096234769,0.405465108108164
"TN","47109","Contains solar/wind",10.1632715679453,11.1327830949564,0.705775260780729,0.771271082912141,-0.0870113777169025
"TN","47111","No plant",10.1578584162669,11.0269894917962,0.539353960548147,0.761954704111104,0.287682072201781
"TN","47113","Contains solar/wind",11.50130824563,10.9176537050295,0.633074995525327,0.556721155136925,0.779649084112734
"TN","47117","No plant",10.4709581250081,10.6487923800884,0.542608481687266,0.63956840911668,0.287682072201781
