"FIPSCODE","PSTATABB","CNTYNAME","Category"
"48079","TX","Cochran","Contains solar/wind"
"48081","TX","Coke","Contains FF and solar/wind "
"48085","TX","Collin","Contains FF and solar/wind "
"48089","TX","Colorado","Contains FF"
"48091","TX","Comal","Other plant"
"48093","TX","Comanche","Contains solar/wind"
"48095","TX","Concho","Contains solar/wind"
"48097","TX","Cooke","Contains solar/wind"
"48103","TX","Crane","Contains solar/wind"
"48105","TX","Crockett","Contains solar/wind"
"48107","TX","Crosby","Contains solar/wind"
"48109","TX","Culberson","Contains solar/wind"
"48113","TX","Dallas","Contains FF and solar/wind "
"48115","TX","Dawson","Contains solar/wind"
"48117","TX","Deaf Smith","Contains solar/wind"
"48121","TX","Denton","Contains FF and solar/wind "
"48125","TX","Dickens","Contains solar/wind"
"48127","TX","Dimmit","Contains solar/wind"
"48129","TX","Donley","Contains solar/wind"
"48135","TX","Ector","Contains FF and solar/wind "
"48139","TX","Ellis","Contains FF and solar/wind "
"48141","TX","El Paso","Contains FF and solar/wind "
"48143","TX","Erath","Contains solar/wind"
"48147","TX","Fannin","Contains solar/wind"
"48149","TX","Fayette","Contains FF"
"48151","TX","Fisher","Contains solar/wind"
"48153","TX","Floyd","Contains solar/wind"
"48155","TX","Foard","Contains solar/wind"
"48157","TX","Fort Bend","Contains FF and solar/wind "
"48159","TX","Franklin","Contains solar/wind"
"48161","TX","Freestone","Contains FF"
"48163","TX","Frio","Contains FF and solar/wind "
"48167","TX","Galveston","Contains FF"
"48173","TX","Glasscock","Contains solar/wind"
"48175","TX","Goliad","Contains FF"
"48181","TX","Grayson","Contains FF and solar/wind "
"48183","TX","Gregg","Contains FF"
"48185","TX","Grimes","Contains FF"
"48187","TX","Guadalupe","Contains FF and solar/wind "
"48189","TX","Hale","Contains FF and solar/wind "
"48193","TX","Hamilton","Contains solar/wind"
"48195","TX","Hansford","Contains solar/wind"
"48197","TX","Hardeman","Contains solar/wind"
"48199","TX","Hardin","Contains FF"
"48201","TX","Harris","Contains FF"
"48203","TX","Harrison","Contains FF"
"48207","TX","Haskell","Contains solar/wind"
"48209","TX","Hays","Contains FF"
"48213","TX","Henderson","Contains FF"
"48215","TX","Hidalgo","Contains FF and solar/wind "
"48217","TX","Hill","Contains solar/wind"
"48221","TX","Hood","Contains FF"
"48227","TX","Howard","Contains FF and solar/wind "
"48231","TX","Hunt","Contains FF and solar/wind "
"48233","TX","Hutchinson","Contains FF"
"48235","TX","Irion","Contains solar/wind"
"48237","TX","Jack","Contains solar/wind"
"48241","TX","Jasper","Other plant"
"48245","TX","Jefferson","Contains FF"
"48247","TX","Jim Hogg","Contains solar/wind"
"48249","TX","Jim Wells","Contains FF"
"48251","TX","Johnson","Contains FF"
"48253","TX","Jones","Contains FF and solar/wind "
"48255","TX","Karnes","Contains solar/wind"
"48257","TX","Kaufman","Contains FF and solar/wind "
"48261","TX","Kenedy","Contains solar/wind"
"48263","TX","Kent","Contains solar/wind"
